,c_m,a0_m,b0_m,delta_m,s_m,tau_m_const,a0_h,b0_h,delta_h,s_h,tau_h_const,a0_j,b0_j,delta_j,s_j,tau_j_const,R,g_max,g_leak,v_half_h,v_half_m,k_h,k_m,x_c_comp,x_r_comp,alpha,v_rev,tau_z
c_m,7.058936200101434e-05,7.652691209863354e-05,-6.512490043854144e-06,-0.0001080587149998,2.150273617610302e-06,-3.254864162821945e-05,1.5742883069671795e-05,0.0001287960792948,0.0001574533982991,0.0001856465875282,-5.650315951699658e-05,-0.0001004551501736,-5.178020068191039e-05,0.0002023698466623,0.0002031232899605,0.0001925676836506,-9.330631736358955e-05,-0.0002161228693568,0.000103203707233,-0.0036572459934229,0.000675408434794,0.0013466923502597,-0.0006659129363242,0.0001836116504343,0.000162274295374,-5.488771195383305e-06,-0.0002511309048196,3.001077368190703e-05
a0_m,7.652691209863354e-05,0.0021588106898313,0.000481085357165,-0.0002588517133679,-0.0005590163016693,-0.0004595520360764,0.0007392940674223,0.0001032795979726,0.0004224686601409,0.001062256927796,0.0004085337192632,-0.0004089722983332,0.000538577083914,0.0007788890660036,0.0026310824256717,0.0010335712444162,-7.181337123323094e-05,-0.0014650620923162,0.000357267856935,-0.0302193851713352,-0.0046399495770717,0.0085700806829512,-0.0005350764732717,0.0013335524630455,0.0007818958586147,-6.091875928978736e-05,-0.0148743100151328,0.0002922656843877
b0_m,-6.512490043854144e-06,0.000481085357165,0.0001722635062708,-4.93222762751748e-05,-0.0001440377402248,-0.0002035256387445,0.0001384731446712,-1.1352843304410495e-05,5.920763724512108e-05,0.000283271814994,0.00017404622462,-0.0001323054321173,0.0001395939635023,0.0001521517785368,0.0007027187359959,0.0002750651645549,-1.1456445973081662e-05,-0.0003615294377104,6.941704401819335e-05,-0.0039663302856746,-0.0016380326509996,0.0018734021152907,0.0002566115238513,0.0002751395169193,0.0001725901625734,-1.871483798009692e-05,0.0011875830863352,2.4131244712831416e-05
delta_m,-0.0001080587149998,-0.0002588517133679,-4.93222762751748e-05,0.0004214654750302,4.9894483438059e-05,2.2285220950417133e-05,-9.915409143453104e-05,-3.8323080999473485e-05,-0.0002666407423266,-0.0003616958377193,0.0001354809652733,0.000147843213652,2.8807865660279133e-05,-0.0002886474095278,-0.0008304675261938,-0.0005650583151891,0.0001768752831881,0.0005744260606372,-0.0002497590192517,0.0086473617260777,-0.0017973587601792,-0.002838170655923,0.0017792655996677,-0.0004799364470412,-0.0004187575548174,1.6115188679181607e-05,-0.0017922450371792,-0.0001481455615837
s_m,2.150273617610302e-06,-0.0005590163016693,-0.0001440377402248,4.9894483438059e-05,0.0001832629909256,0.0001514325101773,-0.0001888172201585,7.791242554193243e-06,-5.584650819495041e-05,-0.0002808307538508,-0.0001398378645077,8.842470528713511e-05,-0.0001756167792253,-0.0001600365391396,-0.0007673676215833,-0.0002635646572341,6.404213727337797e-06,0.0004233614704331,-7.690308930170536e-05,0.006872165226101,0.0011629543827839,-0.0020664124843159,-0.0001711911606425,-0.0003087746431326,-0.0002083600428426,1.746955119922858e-05,0.0026327851011863,-8.440451456008368e-05
tau_m_const,-3.254864162821945e-05,-0.0004595520360764,-0.0002035256387445,2.2285220950417133e-05,0.0001514325101773,0.000387973008178,-7.940691732285685e-05,-0.0001458656980438,-0.0001341199889241,-0.0004954410352771,-0.0002463814093799,0.0002852850752779,-9.784401209815606e-05,-0.0003273773371947,-0.0008499498250809,-0.0003875940618854,9.705561078154684e-05,0.0005517485101226,-0.0001237142985234,0.0026903528201863,0.0018588621443888,-0.0027552879828021,-0.0005768010650829,-0.000313702952035,-0.0002780945135001,2.7025111661111512e-05,-0.0054379508347908,3.724405497837937e-05
a0_h,1.5742883069671795e-05,0.0007392940674223,0.0001384731446712,-9.915409143453104e-05,-0.0001888172201585,-7.940691732285685e-05,0.0002775814346864,-1.5734275373495476e-05,0.0001158311516039,0.0002836387241981,0.0001008152447219,-7.88804260750743e-05,0.0001991834011744,0.0002062078110763,0.0008454750585389,0.0003051953061368,5.086037543324841e-07,-0.0004431192423295,0.0001076724380293,-0.0112959901647305,-0.0013515349256804,0.0026229191679715,-0.0003162386706705,0.0004419928977253,0.0002382876059475,-1.7128446025976403e-05,-0.0074037199940574,0.0001311923281479
b0_h,0.0001287960792948,0.0001032795979726,-1.1352843304410495e-05,-3.8323080999473485e-05,7.791242554193243e-06,-0.0001458656980438,-1.5734275373495476e-05,0.0003528821954634,0.0002801716297552,0.0003710926503669,-3.0435665505062373e-05,-0.0002273516351277,-0.0001094823032339,0.0004241180255738,0.0001820178738135,0.0002440363064716,-0.0001631445967892,-0.0003329541012445,0.0001450091877289,-0.0046111973575337,0.0005462691404904,0.002337982620103,-0.0006008909494034,0.0002463566190698,0.0002285105173172,-9.71865701197359e-06,-0.0001727822561013,-1.5921947344550705e-05
delta_h,0.0001574533982991,0.0004224686601409,5.920763724512108e-05,-0.0002666407423266,-5.584650819495041e-05,-0.0001341199889241,0.0001158311516039,0.0002801716297552,0.0003940931682203,0.0005246042400963,-6.155198249476394e-05,-0.0002713515356702,-5.141067325951682e-05,0.0005226414544033,0.0007402302046832,0.0005461312215967,-0.0002023945319464,-0.000617889399955,0.0002589642318537,-0.0108177182327855,0.0007217219889846,0.0038870161819365,-0.0015082349854848,0.0005537193132031,0.0004285923620719,-1.9662184078739545e-05,-0.0013175488095788,8.663161834080947e-05
s_h,0.0001856465875282,0.001062256927796,0.000283271814994,-0.0003616958377193,-0.0002808307538508,-0.0004954410352771,0.0002836387241981,0.0003710926503669,0.0005246042400963,0.0010717407996581,0.0001690908161379,-0.0005266212825664,0.0001205445502479,0.0008589713311594,0.0018885711225611,0.0010279630493843,-0.0003000963974512,-0.001333636413868,0.0004184219006748,-0.0173943058716685,-0.0008035327130238,0.0072323441810395,-0.0011475468028997,0.0009879548827212,0.0007956500878141,-5.0168789651092735e-05,0.00142617785342,0.0001348183660163
tau_h_const,-5.650315951699658e-05,0.0004085337192632,0.00017404622462,0.0001354809652733,-0.0001398378645077,-0.0002463814093799,0.0001008152447219,-3.0435665505062373e-05,-6.155198249476394e-05,0.0001690908161379,0.0002740397208193,-9.989560217093197e-05,0.0001704099227505,4.183157221320936e-05,0.0004517016637811,6.296942426444023e-05,5.6336829639045727e-05,-0.000172430389077,-2.828855226649261e-05,-4.255194514209644e-05,-0.0027248500331571,0.0008319485882149,0.00121495194605,8.157361564144394e-05,2.210680944968357e-05,-1.4810511693605965e-05,0.001345825536509,-4.953960081154703e-05
a0_j,-0.0001004551501736,-0.0004089722983332,-0.0001323054321173,0.000147843213652,8.842470528713511e-05,0.0002852850752779,-7.88804260750743e-05,-0.0002273516351277,-0.0002713515356702,-0.0005266212825664,-9.989560217093197e-05,0.0003056364585684,-6.210054224869712e-06,-0.0004402025025057,-0.0007905333947222,-0.0004789149493997,0.0001662584830928,0.0005897267576733,-0.0002007889162425,0.0060949982986185,0.00065694535286,-0.0033521240855729,0.0004386850526735,-0.0004298490403231,-0.0003603003340815,2.3964560785215647e-05,-0.0031086344340661,-5.307033146049046e-06
b0_j,-5.178020068191039e-05,0.000538577083914,0.0001395939635023,2.8807865660279133e-05,-0.0001756167792253,-9.784401209815606e-05,0.0001991834011744,-0.0001094823032339,-5.141067325951682e-05,0.0001205445502479,0.0001704099227505,-6.210054224869712e-06,0.0002174408321792,1.026023225815486e-05,0.0005905744029839,0.0001057958498922,6.99007434879717e-05,-0.0002344290672326,1.7632213784490858e-06,-0.0052074225622038,-0.0018122642283027,0.0010961756782261,0.0005591314101603,0.000192966247647,7.774592506248963e-05,-1.21123708896141e-05,-0.0041736895071506,6.775182953411185e-05
delta_j,0.0002023698466623,0.0007788890660036,0.0001521517785368,-0.0002886474095278,-0.0001600365391396,-0.0003273773371947,0.0002062078110763,0.0004241180255738,0.0005226414544033,0.0008589713311594,4.183157221320936e-05,-0.0004402025025057,1.026023225815486e-05,0.0007911377063402,0.0012793422510021,0.0007954823723655,-0.0002783802784728,-0.0010092191026007,0.0003606019246194,-0.015739954826451,-4.644945503610744e-05,0.0060269580641937,-0.0014360431309822,0.0008174656010847,0.0006375105476886,-3.51664558573918e-05,-0.0017973967430785,0.0001048817694695
s_j,0.0002031232899605,0.0026310824256717,0.0007027187359959,-0.0008304675261938,-0.0007673676215833,-0.0008499498250809,0.0008454750585389,0.0001820178738135,0.0007402302046832,0.0018885711225611,0.0004517016637811,-0.0007905333947222,0.0005905744029839,0.0012793422510021,0.0044530646838838,0.0020510394144416,-0.0003890364634197,-0.002699161475388,0.0007573181878955,-0.0388868110275821,-0.0029910731852486,0.0135902935072414,-0.0018072052431472,0.0020415513293458,0.0015582141854214,-0.0001037400043672,-0.0026623000014008,0.000451308864732
tau_j_const,0.0001925676836506,0.0010335712444162,0.0002750651645549,-0.0005650583151891,-0.0002635646572341,-0.0003875940618854,0.0003051953061368,0.0002440363064716,0.0005461312215967,0.0010279630493843,6.296942426444023e-05,-0.0004789149493997,0.0001057958498922,0.0007954823723655,0.0020510394144416,0.0011614910121579,-0.0003182580392324,-0.0013813939702704,0.0004708848075407,-0.0188080438683928,0.0002579306903663,0.0072622661115706,-0.0019861195776971,0.0010742376727131,0.0008689474776347,-4.975149580315671e-05,0.0025190495682984,0.0002076763872545
R,-9.330631736358955e-05,-7.181337123323094e-05,-1.1456445973081662e-05,0.0001768752831881,6.404213727337797e-06,9.705561078154684e-05,5.086037543324841e-07,-0.0001631445967892,-0.0002023945319464,-0.0003000963974512,5.6336829639045727e-05,0.0001662584830928,6.99007434879717e-05,-0.0002783802784728,-0.0003890364634197,-0.0003182580392324,0.0001519052605708,0.0003695709329036,-0.0001588447167222,0.0039137384469087,-0.0010094002001501,-0.0019351242915066,0.0008066728170196,-0.0002517325643062,-0.0002612384704557,1.0543206851255609e-05,-0.0022886309682335,-3.3302825168553706e-05
g_max,-0.0002161228693568,-0.0014650620923162,-0.0003615294377104,0.0005744260606372,0.0004233614704331,0.0005517485101226,-0.0004431192423295,-0.0003329541012445,-0.000617889399955,-0.001333636413868,-0.000172430389077,0.0005897267576733,-0.0002344290672326,-0.0010092191026007,-0.002699161475388,-0.0013813939702704,0.0003695709329036,0.0018280313589035,-0.0005600154262375,0.0253384025443818,0.0002997057878541,-0.0093138440872836,0.0017140483097985,-0.0013285777876364,-0.0010983198310066,6.484898503271954e-05,0.0005557304726684,-0.0002789970876777
g_leak,0.000103203707233,0.000357267856935,6.941704401819335e-05,-0.0002497590192517,-7.690308930170536e-05,-0.0001237142985234,0.0001076724380293,0.0001450091877289,0.0002589642318537,0.0004184219006748,-2.828855226649261e-05,-0.0002007889162425,1.7632213784490858e-06,0.0003606019246194,0.0007573181878955,0.0004708848075407,-0.0001588447167222,-0.0005600154262375,0.0002129148885206,-0.0084072538039233,0.0006098559288774,0.0030299273538956,-0.0010605001639729,0.0004439032733367,0.0003720672127749,-1.7898245518203265e-05,2.983252532188761e-05,9.083766861222152e-05
v_half_h,-0.0036572459934229,-0.0302193851713352,-0.0039663302856746,0.0086473617260777,0.006872165226101,0.0026903528201863,-0.0112959901647305,-0.0046111973575337,-0.0108177182327855,-0.0173943058716685,-4.255194514209644e-05,0.0060949982986185,-0.0052074225622038,-0.015739954826451,-0.0388868110275821,-0.0188080438683928,0.0039137384469087,0.0253384025443818,-0.0084072538039233,0.6071300006691066,0.0082943077967747,-0.1517476215943047,0.0446439864253354,-0.024145206557327,-0.0157225303296885,0.0007891420110458,0.3410510391425769,-0.0070161600747417
v_half_m,0.000675408434794,-0.0046399495770717,-0.0016380326509996,-0.0017973587601792,0.0011629543827839,0.0018588621443888,-0.0013515349256804,0.0005462691404904,0.0007217219889846,-0.0008035327130238,-0.0027248500331571,0.00065694535286,-0.0018122642283027,-4.644945503610744e-05,-0.0029910731852486,0.0002579306903663,-0.0010094002001501,0.0002997057878541,0.0006098559288774,0.0082943077967747,0.0335687108216762,-0.005454399555096,-0.0117812354290954,-0.0007325672177474,0.0006235759349245,0.0001077950115649,0.0179033279664124,0.00059848528767
k_h,0.0013466923502597,0.0085700806829512,0.0018734021152907,-0.002838170655923,-0.0020664124843159,-0.0027552879828021,0.0026229191679715,0.002337982620103,0.0038870161819365,0.0072323441810395,0.0008319485882149,-0.0033521240855729,0.0010961756782261,0.0060269580641937,0.0135902935072414,0.0072622661115706,-0.0019351242915066,-0.0093138440872836,0.0030299273538956,-0.1517476215943047,-0.005454399555096,0.0527385208513347,-0.0111547837768765,0.0076237903925134,0.0056668084712886,-0.000337103139049,-0.0270066141706556,0.001385408359324
k_m,-0.0006659129363242,-0.0005350764732717,0.0002566115238513,0.0017792655996677,-0.0001711911606425,-0.0005768010650829,-0.0003162386706705,-0.0006008909494034,-0.0015082349854848,-0.0011475468028997,0.00121495194605,0.0004386850526735,0.0005591314101603,-0.0014360431309822,-0.0018072052431472,-0.0019861195776971,0.0008066728170196,0.0017140483097985,-0.0010605001639729,0.0446439864253354,-0.0117812354290954,-0.0111547837768765,0.0106797162465847,-0.0019836255296719,-0.0015198676931669,2.4479403867743448e-05,0.0117470845205944,-0.0006812040339174
x_c_comp,0.0001836116504343,0.0013335524630455,0.0002751395169193,-0.0004799364470412,-0.0003087746431326,-0.000313702952035,0.0004419928977253,0.0002463566190698,0.0005537193132031,0.0009879548827212,8.157361564144394e-05,-0.0004298490403231,0.000192966247647,0.0008174656010847,0.0020415513293458,0.0010742376727131,-0.0002517325643062,-0.0013285777876364,0.0004439032733367,-0.024145206557327,-0.0007325672177474,0.0076237903925134,-0.0019836255296719,0.0011671772902162,0.0008183154780407,-4.749842664420207e-05,-0.0062351328315616,0.0002508387542249
x_r_comp,0.000162274295374,0.0007818958586147,0.0001725901625734,-0.0004187575548174,-0.0002083600428426,-0.0002780945135001,0.0002382876059475,0.0002285105173172,0.0004285923620719,0.0007956500878141,2.210680944968357e-05,-0.0003603003340815,7.774592506248963e-05,0.0006375105476886,0.0015582141854214,0.0008689474776347,-0.0002612384704557,-0.0010983198310066,0.0003720672127749,-0.0157225303296885,0.0006235759349245,0.0056668084712886,-0.0015198676931669,0.0008183154780407,0.000697731021532,-3.66404821309144e-05,-0.0001460787351609,0.0001809073834801
alpha,-5.488771195383305e-06,-6.091875928978736e-05,-1.871483798009692e-05,1.6115188679181607e-05,1.746955119922858e-05,2.7025111661111512e-05,-1.7128446025976403e-05,-9.71865701197359e-06,-1.9662184078739545e-05,-5.0168789651092735e-05,-1.4810511693605965e-05,2.3964560785215647e-05,-1.21123708896141e-05,-3.51664558573918e-05,-0.0001037400043672,-4.975149580315671e-05,1.0543206851255609e-05,6.484898503271954e-05,-1.7898245518203265e-05,0.0007891420110458,0.0001077950115649,-0.000337103139049,2.4479403867743448e-05,-4.749842664420207e-05,-3.66404821309144e-05,2.691508501374684e-06,-0.0001311475174373,-6.4943000742782265e-06
v_rev,-0.0002511309048196,-0.0148743100151328,0.0011875830863352,-0.0017922450371792,0.0026327851011863,-0.0054379508347908,-0.0074037199940574,-0.0001727822561013,-0.0013175488095788,0.00142617785342,0.001345825536509,-0.0031086344340661,-0.0041736895071506,-0.0017973967430785,-0.0026623000014008,0.0025190495682984,-0.0022886309682335,0.0005557304726684,2.983252532188761e-05,0.3410510391425769,0.0179033279664124,-0.0270066141706556,0.0117470845205944,-0.0062351328315616,-0.0001460787351609,-0.0001311475174373,0.4884309834481997,-0.0041180529573955
tau_z,3.001077368190703e-05,0.0002922656843877,2.4131244712831416e-05,-0.0001481455615837,-8.440451456008368e-05,3.724405497837937e-05,0.0001311923281479,-1.5921947344550705e-05,8.663161834080947e-05,0.0001348183660163,-4.953960081154703e-05,-5.307033146049046e-06,6.775182953411185e-05,0.0001048817694695,0.000451308864732,0.0002076763872545,-3.3302825168553706e-05,-0.0002789970876777,9.083766861222152e-05,-0.0070161600747417,0.00059848528767,0.001385408359324,-0.0006812040339174,0.0002508387542249,0.0001809073834801,-6.4943000742782265e-06,-0.0041180529573955,0.0001225525864807
